true,predict
69.5,69.5
69.5,70.57
69.5,71.03
69.5,71.2775
70.5,71.22749999999999
70.5,71.325
70.5,71.3
70.5,71.6925
70.5,71.84
70.5,72.0025
70.5,72.2175
70.5,72.2175
70.5,72.5325
70.5,72.545
70.5,72.745
70.5,72.9975
70.5,73.31250000000001
70.5,73.4025
70.5,73.41499999999999
70.5,73.5525
70.5,73.58000000000001
71.0,73.73
71.0,73.715
71.0,73.6775
71.0,73.5275
71.0,73.3025
71.0,73.26750000000001
71.0,73.23
71.0,73.72
70.4959,74.23
70.4959,70.49589999999998
69.9959,71.46589999999999
69.9959,71.8759
69.9959,71.9259
69.9959,71.8759
69.9959,71.9734
69.9959,71.98589999999999
69.4959,72.2884
68.9959,72.38589999999999
67.6959,72.3984
67.6959,72.4134
67.1959,72.46340000000001
67.1959,72.62839999999998
65.9959,72.64089999999999
63.9959,72.84089999999999
62.9959,73.05339999999998
62.9959,73.13340000000001
61.9959,73.17339999999999
60.9959,73.18589999999999
60.9959,73.32339999999999
59.4959,73.1884
57.9959,73.33840000000001
57.8959,73.29839999999999
57.3959,73.3984
57.3959,73.29839999999999
57.3959,73.07339999999999
57.3959,73.0384
57.3959,73.1259
54.8959,73.61589999999998
54.8959,74.03839999999998
53.8959,54.8959
53.8959,55.230899999999984
52.8959,55.440899999999985
52.8959,55.86589999999999
52.8959,55.86589999999999
52.9,55.77589999999999
52.9,55.83839999999999
52.9,55.77589999999999
52.9,55.77589999999999
51.4,55.78839999999999
50.4,55.853399999999986
49.9,55.853399999999986
49.9,55.8809
48.9,55.9184
48.9,55.9184
48.9,56.0184
48.9,56.0184
48.9,55.983399999999996
48.9,55.99589999999999
47.9,56.008399999999995
46.9,55.878399999999985
45.9,55.89089999999999
45.4,56.20089999999999
45.4,56.60089999999999
45.4,56.47589999999999
45.4,56.10089999999999
45.4,56.065899999999985
45.4,55.96589999999999
45.4,56.34589999999999
45.4,56.89089999999999
45.4,45.399999999999984
45.4,45.30499999999999
45.4,45.29499999999999
45.4,45.29499999999999
45.9,45.26999999999999
45.9,45.164999999999985
45.9,45.11749999999999
46.4,45.05499999999999
47.4,44.93499999999999
48.4,44.802499999999995
48.4,44.74499999999999
48.4,44.67999999999999
49.4,44.569999999999986
50.9,44.444999999999986
50.9,44.27999999999999
50.9,44.194999999999986
50.9,44.17249999999999
50.9,44.07749999999999
50.9,43.999999999999986
50.9,44.032499999999985
50.9,43.86499999999999
50.9,43.77249999999999
50.9,43.739999999999995
50.9,43.58999999999999
50.9,43.41499999999999
50.9,43.33749999999999
50.9,43.37499999999999
50.9,43.32999999999999
50.9,43.07249999999999
50.0,42.84249999999999
50.0,50.0
50.0,50.2375
50.0,50.28249999999999
49.0,50.412499999999994
49.0,50.449999999999996
49.0,50.325
49.0,50.1875
47.0,50.155
47.0,50.0175
47.0,50.005
47.0,50.019999999999996
46.5,50.065
46.5,50.085
46.5,49.965
46.5,49.93000000000001
46.5,49.85
46.5,49.785000000000004
46.5,49.71249999999999
46.5,49.6725
46.5,49.6125
46.5,49.535
47.5,49.397499999999994
47.5,49.207499999999996
47.5,49.1325
47.5,49.082499999999996
47.75,48.9825
47.75,48.940000000000005
47.75,48.730000000000004
47.75,48.58
47.75,48.32
47.75,47.75
48.25,47.69
48.5,47.5125
48.75,47.5325
48.75,47.4825
48.75,47.267500000000005
48.75,47.0275
48.75,46.86750000000001
48.75,46.69250000000001
48.75,46.63000000000001
49.25,46.57000000000001
49.5,46.56
50.9,46.540000000000006
50.7,46.39000000000001
50.7,46.30500000000001
50.7,46.230000000000004
50.7,46.12
50.7,46.075
50.7,46.019999999999996
50.7,45.959999999999994
50.7,45.785
51.25,45.66
51.25,45.440000000000005
51.25,45.39
51.25,45.265
52.25,45.265
52.25,45.14
52.75,44.915000000000006
52.75,44.8025
52.75,44.4275
52.75,52.75
52.75,52.93499999999999
52.75,52.9775
52.75,53.022499999999994
52.75,53.09749999999999
52.75,52.97249999999999
52.75,52.85999999999999
52.75,52.817499999999995
52.75,52.67999999999999
52.75,52.61749999999999
52.75,52.532500000000006
52.75,52.62750000000001
53.0,52.647500000000015
53.0,52.53750000000001
52.8,52.50250000000001
52.8,52.4375
52.8,52.322500000000005
52.8,52.225
52.8,52.13499999999999
52.55,52.05
52.55,51.875
52.55,51.7375
52.3,51.597500000000004
52.3,51.572500000000005
51.8,51.4975
51.8,51.4975
51.8,51.417500000000004
51.8,51.25750000000001
